BADANIE;Jednostka;Cena
TK PORÓWNAWCZE CITO ONKO;tdneuromedyka;0
TK PORÓWNAWCZE CITO ONKO;tdnowomedica;0
TK PORÓWNAWCZE CITO ONKO;tdonkologiaradom;0
TK PORÓWNAWCZE CITO ONKO;tdparczew;0
TK PORÓWNAWCZE CITO ONKO;tdpionki;0
TK PORÓWNAWCZE CITO ONKO;tdpraski;0
TK PORÓWNAWCZE CITO ONKO;tdpoludniowy;0
TK PORÓWNAWCZE CITO ONKO;tdpyrzyce;0
TK PORÓWNAWCZE CITO ONKO;tdscanmedak5;0
TK PORÓWNAWCZE CITO ONKO;tdscanmedpila;0
TK PORÓWNAWCZE CITO ONKO;tdsmswinoujscie;0
TK PORÓWNAWCZE CITO ONKO;tdspectrum;0
TK PORÓWNAWCZE CITO ONKO;tdspzozkolo;0
TK PORÓWNAWCZE CITO ONKO;tdspzozsiedlce;0
TK PORÓWNAWCZE CITO ONKO;tdsulechowNOWY;0
TK PORÓWNAWCZE CITO ONKO;tdszpitalchelm;0
TK PORÓWNAWCZE CITO ONKO;tdszpitalkolno;0
TK PORÓWNAWCZE CITO ONKO;tdwszplock;0
TK PORÓWNAWCZE CITO ONKO;tdzoznidzica;0
TK PORÓWNAWCZE CITO ONKO;tdzozplonsk;0
TK PORÓWNAWCZE CITO ONKO;td7szmw;0
TK PORÓWNAWCZE CITO ONKO;tworki;0
TK PORÓWNAWCZE CITO ONKO;uskbialystok;0
TK PORÓWNAWCZE CITO ONKO;uskpoznan;0
TK PORÓWNAWCZE CITO ONKO;wlodawa;0
TK PORÓWNAWCZE CITO ONKO;zambrow;0
TK PORÓWNAWCZE CITO ONKO;zgorzelec;0
TK PORÓWNAWCZE CITO ONKO;zozbiala;0
TK PORÓWNAWCZE CITO ONKO;zozswietochlowice;0
TK PORÓWNAWCZE CITO ONKO;almed;114,8
TK PORÓWNAWCZE CITO ONKO;dabrowatarnowska;56,4
TK PORÓWNAWCZE CITO ONKO;grupazdrowie;41,4
TK PORÓWNAWCZE CITO ONKO;komed;78,125
TK PORÓWNAWCZE CITO ONKO;poddebice2;51,6
TK PORÓWNAWCZE CITO ONKO;swp;187,5
TK PORÓWNAWCZE CITO ONKO;puszczykowo;187,5
TK PORÓWNAWCZE CITO ONKO;rodamed;21,45
TK PORÓWNAWCZE CITO ONKO;sm4gliwice;195
TK PORÓWNAWCZE CITO ONKO;spzozgrodzisk;117,6
TK PORÓWNAWCZE CITO ONKO;spzozswidnica;89,7
TK PORÓWNAWCZE CITO ONKO;szpitaljaslo;250
TK PORÓWNAWCZE CITO ONKO;szpitalrydygier;60
TK PORÓWNAWCZE CITO ONKO;tdmilicz;64,8
TK PORÓWNAWCZE CITO ONKO;tdsuchab;195
TK PORÓWNAWCZE CITO ONKO;tomograf;195
TK PORÓWNAWCZE CITO ONKO;wsswroclaw;78,125
TK PORÓWNAWCZE CITO ONKO;wysmaz;68,75
TK PORÓWNAWCZE CITO ONKO;zozbol;260,496
TK PORÓWNAWCZE CITO ONKO;zozboleslawiec;260,496
TK PORÓWNAWCZE CITO ONKO;zozsochaczew;0
TK PORÓWNAWCZE PILNE ONKO;alfasochaczew;0
TK PORÓWNAWCZE PILNE ONKO;bimed;0
TK PORÓWNAWCZE PILNE ONKO;diamed;0
TK PORÓWNAWCZE PILNE ONKO;domchojna2;0
TK PORÓWNAWCZE PILNE ONKO;domchojna;0
TK PORÓWNAWCZE PILNE ONKO;gz;0
TK PORÓWNAWCZE PILNE ONKO;gzplonsk;0
TK PORÓWNAWCZE PILNE ONKO;gzszczecin;0
TK PORÓWNAWCZE PILNE ONKO;kamienpomorski;0
TK PORÓWNAWCZE PILNE ONKO;kosmowroclaw;0
TK PORÓWNAWCZE PILNE ONKO;medinet;0
TK PORÓWNAWCZE PILNE ONKO;nrkrakow;0
TK PORÓWNAWCZE PILNE ONKO;nzozevita;0
TK PORÓWNAWCZE PILNE ONKO;powiatsredzki;0
TK PORÓWNAWCZE PILNE ONKO;smtorun;0
TK PORÓWNAWCZE PILNE ONKO;szpitalsiemiatycze;0
TK PORÓWNAWCZE PILNE ONKO;tdallmedica;0
TK PORÓWNAWCZE PILNE ONKO;tdcmbatorego;0
TK PORÓWNAWCZE PILNE ONKO;tdcrir;0
TK PORÓWNAWCZE PILNE ONKO;tdkoszalinmswia;0
TK PORÓWNAWCZE PILNE ONKO;tdorzesze;0
TK PORÓWNAWCZE PILNE ONKO;tdstalowawola;0
TK PORÓWNAWCZE PILNE ONKO;tdtargowek;0
TK PORÓWNAWCZE PILNE ONKO;tdzozwola;0
TK PORÓWNAWCZE PILNE ONKO;wegorzewo;0
TK PORÓWNAWCZE PILNE ONKO;wimed;0
TK PORÓWNAWCZE PILNE ONKO;wss5;0
TK PORÓWNAWCZE PILNE ONKO;bialogard;0
TK PORÓWNAWCZE PILNE ONKO;brodnica;0
TK PORÓWNAWCZE PILNE ONKO;brzesko;0
TK PORÓWNAWCZE PILNE ONKO;cobydgoszcz;0
TK PORÓWNAWCZE PILNE ONKO;dcmdolmed;0
TK PORÓWNAWCZE PILNE ONKO;dzierzoniow;0
TK PORÓWNAWCZE PILNE ONKO;faceclinic;0
TK PORÓWNAWCZE PILNE ONKO;goleniow;0
TK PORÓWNAWCZE PILNE ONKO;gorlice;0
TK PORÓWNAWCZE PILNE ONKO;grajewo;0
TK PORÓWNAWCZE PILNE ONKO;grodzisk;0
TK PORÓWNAWCZE PILNE ONKO;kartuzy;0
TK PORÓWNAWCZE PILNE ONKO;klodzko;0
TK PORÓWNAWCZE PILNE ONKO;lapy;0
TK PORÓWNAWCZE PILNE ONKO;lubaczow;0
TK PORÓWNAWCZE PILNE ONKO;mswsiedlce;0
TK PORÓWNAWCZE PILNE ONKO;nml;0
TK PORÓWNAWCZE PILNE ONKO;ostrow;0
TK PORÓWNAWCZE PILNE ONKO;pczotwock;0
TK PORÓWNAWCZE PILNE ONKO;radiomedica;0
TK PORÓWNAWCZE PILNE ONKO;rybnik;0
TK PORÓWNAWCZE PILNE ONKO;scanmed;0
TK PORÓWNAWCZE PILNE ONKO;sokolow;0
TK PORÓWNAWCZE PILNE ONKO;spbochnia;0
TK PORÓWNAWCZE PILNE ONKO;spzozlezajsk;0
TK PORÓWNAWCZE PILNE ONKO;spzozmc;0
TK PORÓWNAWCZE PILNE ONKO;spzozturek;0
TK PORÓWNAWCZE PILNE ONKO;spzzozsierpc;0
TK PORÓWNAWCZE PILNE ONKO;starachowice;0
TK PORÓWNAWCZE PILNE ONKO;swk;0
TK PORÓWNAWCZE PILNE ONKO;szpitaldzieciecy;0
TK PORÓWNAWCZE PILNE ONKO;szpitallubartow;0
TK PORÓWNAWCZE PILNE ONKO;szpitalopole;0
TK PORÓWNAWCZE PILNE ONKO;szpitalzakopane;0
TK PORÓWNAWCZE PILNE ONKO;szpitalzawiercie;0
TK PORÓWNAWCZE PILNE ONKO;tdbelzyce;0
TK PORÓWNAWCZE PILNE ONKO;tdblachownia;0
TK PORÓWNAWCZE PILNE ONKO;tdbonifratrzy;0
TK PORÓWNAWCZE PILNE ONKO;tdbrodnowski;0
TK PORÓWNAWCZE PILNE ONKO;tdemcpiaseczno;0
TK PORÓWNAWCZE PILNE ONKO;tdgammaknife;0
TK PORÓWNAWCZE PILNE ONKO;tdgniezno;0
TK PORÓWNAWCZE PILNE ONKO;tdipin;0
TK PORÓWNAWCZE PILNE ONKO;tdkluczbork;0
TK PORÓWNAWCZE PILNE ONKO;tdkolbuszowa;0
TK PORÓWNAWCZE PILNE ONKO;tdksskrakow;0
TK PORÓWNAWCZE PILNE ONKO;tdneuromedyka;0
TK PORÓWNAWCZE PILNE ONKO;tdnowomedica;0
TK PORÓWNAWCZE PILNE ONKO;tdonkologiaradom;0
TK PORÓWNAWCZE PILNE ONKO;tdparczew;0
TK PORÓWNAWCZE PILNE ONKO;tdpionki;0
TK PORÓWNAWCZE PILNE ONKO;tdpraski;0
TK PORÓWNAWCZE PILNE ONKO;tdpoludniowy;0
TK PORÓWNAWCZE PILNE ONKO;tdpyrzyce;0
TK PORÓWNAWCZE PILNE ONKO;tdscanmedak5;0
TK PORÓWNAWCZE PILNE ONKO;tdscanmedpila;0
TK PORÓWNAWCZE PILNE ONKO;tdsmswinoujscie;0
TK PORÓWNAWCZE PILNE ONKO;tdspectrum;0
TK PORÓWNAWCZE PILNE ONKO;tdspzozkolo;0
TK PORÓWNAWCZE PILNE ONKO;tdspzozsiedlce;0
TK PORÓWNAWCZE PILNE ONKO;tdsulechowNOWY;0
TK PORÓWNAWCZE PILNE ONKO;tdszpitalchelm;0
TK PORÓWNAWCZE PILNE ONKO;tdszpitalkolno;0
TK PORÓWNAWCZE PILNE ONKO;tdwszplock;0
TK PORÓWNAWCZE PILNE ONKO;tdzoznidzica;0
TK PORÓWNAWCZE PILNE ONKO;tdzozplonsk;0
TK PORÓWNAWCZE PILNE ONKO;td7szmw;0
TK PORÓWNAWCZE PILNE ONKO;tworki;0
TK PORÓWNAWCZE PILNE ONKO;uskbialystok;0
TK PORÓWNAWCZE PILNE ONKO;uskpoznan;0
TK PORÓWNAWCZE PILNE ONKO;wlodawa;0
TK PORÓWNAWCZE PILNE ONKO;zambrow;0
TK PORÓWNAWCZE PILNE ONKO;zgorzelec;0
TK PORÓWNAWCZE PILNE ONKO;zozbiala;0
TK PORÓWNAWCZE PILNE ONKO;zozswietochlowice;0
TK PORÓWNAWCZE PILNE ONKO;almed;103,6
TK PORÓWNAWCZE PILNE ONKO;dabrowatarnowska;51,6
TK PORÓWNAWCZE PILNE ONKO;grupazdrowie;37,95
TK PORÓWNAWCZE PILNE ONKO;komed;71,875
TK PORÓWNAWCZE PILNE ONKO;poddebice2;48
TK PORÓWNAWCZE PILNE ONKO;swp;172,5
TK PORÓWNAWCZE PILNE ONKO;puszczykowo;172,5
TK PORÓWNAWCZE PILNE ONKO;rodamed;19,8
TK PORÓWNAWCZE PILNE ONKO;sm4gliwice;172,5
TK PORÓWNAWCZE PILNE ONKO;spzozgrodzisk;106,4
TK PORÓWNAWCZE PILNE ONKO;spzozswidnica;81,9
TK PORÓWNAWCZE PILNE ONKO;szpitaljaslo;230
TK PORÓWNAWCZE PILNE ONKO;szpitalrydygier;55,2
TK PORÓWNAWCZE PILNE ONKO;tdmilicz;55,2
TK PORÓWNAWCZE PILNE ONKO;tdsuchab;180
TK PORÓWNAWCZE PILNE ONKO;tomograf;172,5
TK PORÓWNAWCZE PILNE ONKO;wsswroclaw;65,625
TK PORÓWNAWCZE PILNE ONKO;wysmaz;65,625
TK PORÓWNAWCZE PILNE ONKO;zozbol;217,296
TK PORÓWNAWCZE PILNE ONKO;zozboleslawiec;217,296
TK PORÓWNAWCZE PILNE ONKO;zozsochaczew;0
TK PORÓWNAWCZE PLANOWE ONKO;alfasochaczew;0
TK PORÓWNAWCZE PLANOWE ONKO;bimed;0
TK PORÓWNAWCZE PLANOWE ONKO;diamed;0
TK PORÓWNAWCZE PLANOWE ONKO;domchojna2;0
TK PORÓWNAWCZE PLANOWE ONKO;domchojna;0
TK PORÓWNAWCZE PLANOWE ONKO;gz;0
TK PORÓWNAWCZE PLANOWE ONKO;gzplonsk;0
TK PORÓWNAWCZE PLANOWE ONKO;gzszczecin;0
TK PORÓWNAWCZE PLANOWE ONKO;kamienpomorski;0
TK PORÓWNAWCZE PLANOWE ONKO;kosmowroclaw;0
TK PORÓWNAWCZE PLANOWE ONKO;medinet;0
TK PORÓWNAWCZE PLANOWE ONKO;nrkrakow;0
TK PORÓWNAWCZE PLANOWE ONKO;nzozevita;0
TK PORÓWNAWCZE PLANOWE ONKO;powiatsredzki;0
TK PORÓWNAWCZE PLANOWE ONKO;smtorun;0
TK PORÓWNAWCZE PLANOWE ONKO;szpitalsiemiatycze;0
TK PORÓWNAWCZE PLANOWE ONKO;tdallmedica;0
TK PORÓWNAWCZE PLANOWE ONKO;tdcmbatorego;0
TK PORÓWNAWCZE PLANOWE ONKO;tdcrir;0
TK PORÓWNAWCZE PLANOWE ONKO;tdkoszalinmswia;0
TK PORÓWNAWCZE PLANOWE ONKO;tdorzesze;0
TK PORÓWNAWCZE PLANOWE ONKO;tdstalowawola;0
TK PORÓWNAWCZE PLANOWE ONKO;tdtargowek;0
TK PORÓWNAWCZE PLANOWE ONKO;tdzozwola;0
TK PORÓWNAWCZE PLANOWE ONKO;wegorzewo;0
TK PORÓWNAWCZE PLANOWE ONKO;wimed;0
TK PORÓWNAWCZE PLANOWE ONKO;wss5;0
TK PORÓWNAWCZE PLANOWE ONKO;bialogard;0
TK PORÓWNAWCZE PLANOWE ONKO;brodnica;0
TK PORÓWNAWCZE PLANOWE ONKO;brzesko;0
TK PORÓWNAWCZE PLANOWE ONKO;cobydgoszcz;0
TK PORÓWNAWCZE PLANOWE ONKO;dcmdolmed;0
TK PORÓWNAWCZE PLANOWE ONKO;dzierzoniow;0
TK PORÓWNAWCZE PLANOWE ONKO;faceclinic;0
TK PORÓWNAWCZE PLANOWE ONKO;goleniow;0
TK PORÓWNAWCZE PLANOWE ONKO;gorlice;0
TK PORÓWNAWCZE PLANOWE ONKO;grajewo;0
TK PORÓWNAWCZE PLANOWE ONKO;grodzisk;0
TK PORÓWNAWCZE PLANOWE ONKO;kartuzy;0
TK PORÓWNAWCZE PLANOWE ONKO;klodzko;0
TK PORÓWNAWCZE PLANOWE ONKO;lapy;0
TK PORÓWNAWCZE PLANOWE ONKO;lubaczow;0
TK PORÓWNAWCZE PLANOWE ONKO;mswsiedlce;0
TK PORÓWNAWCZE PLANOWE ONKO;nml;0
TK PORÓWNAWCZE PLANOWE ONKO;ostrow;0
TK PORÓWNAWCZE PLANOWE ONKO;pczotwock;0
TK PORÓWNAWCZE PLANOWE ONKO;radiomedica;0
TK PORÓWNAWCZE PLANOWE ONKO;rybnik;0
TK PORÓWNAWCZE PLANOWE ONKO;scanmed;0
TK PORÓWNAWCZE PLANOWE ONKO;sokolow;0
TK PORÓWNAWCZE PLANOWE ONKO;spbochnia;0
TK PORÓWNAWCZE PLANOWE ONKO;spzozlezajsk;0
TK PORÓWNAWCZE PLANOWE ONKO;spzozmc;0
TK PORÓWNAWCZE PLANOWE ONKO;spzozturek;0
TK PORÓWNAWCZE PLANOWE ONKO;spzzozsierpc;0
TK PORÓWNAWCZE PLANOWE ONKO;starachowice;0
TK PORÓWNAWCZE PLANOWE ONKO;swk;0
TK PORÓWNAWCZE PLANOWE ONKO;szpitaldzieciecy;0
TK PORÓWNAWCZE PLANOWE ONKO;szpitallubartow;0
TK PORÓWNAWCZE PLANOWE ONKO;szpitalopole;0
TK PORÓWNAWCZE PLANOWE ONKO;szpitalzakopane;0
TK PORÓWNAWCZE PLANOWE ONKO;szpitalzawiercie;0
TK PORÓWNAWCZE PLANOWE ONKO;tdbelzyce;0
TK PORÓWNAWCZE PLANOWE ONKO;tdblachownia;0
TK PORÓWNAWCZE PLANOWE ONKO;tdbonifratrzy;0
TK PORÓWNAWCZE PLANOWE ONKO;tdbrodnowski;0
TK PORÓWNAWCZE PLANOWE ONKO;tdemcpiaseczno;0
TK PORÓWNAWCZE PLANOWE ONKO;tdgammaknife;0
TK PORÓWNAWCZE PLANOWE ONKO;tdgniezno;0
TK PORÓWNAWCZE PLANOWE ONKO;tdipin;0
TK PORÓWNAWCZE PLANOWE ONKO;tdkluczbork;0
TK PORÓWNAWCZE PLANOWE ONKO;tdkolbuszowa;0
TK PORÓWNAWCZE PLANOWE ONKO;tdksskrakow;0
TK PORÓWNAWCZE PLANOWE ONKO;tdneuromedyka;0
TK PORÓWNAWCZE PLANOWE ONKO;tdnowomedica;0
TK PORÓWNAWCZE PLANOWE ONKO;tdonkologiaradom;0
TK PORÓWNAWCZE PLANOWE ONKO;tdparczew;0
TK PORÓWNAWCZE PLANOWE ONKO;tdpionki;0
TK PORÓWNAWCZE PLANOWE ONKO;tdpraski;0
TK PORÓWNAWCZE PLANOWE ONKO;tdpoludniowy;0
TK PORÓWNAWCZE PLANOWE ONKO;tdpyrzyce;0
TK PORÓWNAWCZE PLANOWE ONKO;tdscanmedak5;0
TK PORÓWNAWCZE PLANOWE ONKO;tdscanmedpila;0
TK PORÓWNAWCZE PLANOWE ONKO;tdsmswinoujscie;0
TK PORÓWNAWCZE PLANOWE ONKO;tdspectrum;0
TK PORÓWNAWCZE PLANOWE ONKO;tdspzozkolo;0
TK PORÓWNAWCZE PLANOWE ONKO;tdspzozsiedlce;0
TK PORÓWNAWCZE PLANOWE ONKO;tdsulechowNOWY;0
TK PORÓWNAWCZE PLANOWE ONKO;tdszpitalchelm;0
TK PORÓWNAWCZE PLANOWE ONKO;tdszpitalkolno;0
TK PORÓWNAWCZE PLANOWE ONKO;tdwszplock;0
TK PORÓWNAWCZE PLANOWE ONKO;tdzoznidzica;0
TK PORÓWNAWCZE PLANOWE ONKO;tdzozplonsk;0
TK PORÓWNAWCZE PLANOWE ONKO;td7szmw;0
TK PORÓWNAWCZE PLANOWE ONKO;tworki;0
TK PORÓWNAWCZE PLANOWE ONKO;uskbialystok;0
TK PORÓWNAWCZE PLANOWE ONKO;uskpoznan;0
TK PORÓWNAWCZE PLANOWE ONKO;wlodawa;0
TK PORÓWNAWCZE PLANOWE ONKO;zambrow;0
TK PORÓWNAWCZE PLANOWE ONKO;zgorzelec;0
TK PORÓWNAWCZE PLANOWE ONKO;zozbiala;0
TK PORÓWNAWCZE PLANOWE ONKO;zozswietochlowice;0
TK PORÓWNAWCZE PLANOWE ONKO;almed;100,8
TK PORÓWNAWCZE PLANOWE ONKO;dabrowatarnowska;0
TK PORÓWNAWCZE PLANOWE ONKO;grupazdrowie;36,225
TK PORÓWNAWCZE PLANOWE ONKO;komed;60,9375
TK PORÓWNAWCZE PLANOWE ONKO;poddebice2;43,2
TK PORÓWNAWCZE PLANOWE ONKO;swp;157,5
TK PORÓWNAWCZE PLANOWE ONKO;puszczykowo;157,5
TK PORÓWNAWCZE PLANOWE ONKO;rodamed;18,7
TK PORÓWNAWCZE PLANOWE ONKO;sm4gliwice;153,75
TK PORÓWNAWCZE PLANOWE ONKO;spzozgrodzisk;100,8
TK PORÓWNAWCZE PLANOWE ONKO;spzozswidnica;74,1
TK PORÓWNAWCZE PLANOWE ONKO;szpitaljaslo;210
TK PORÓWNAWCZE PLANOWE ONKO;szpitalrydygier;50,4
TK PORÓWNAWCZE PLANOWE ONKO;tdmilicz;48
TK PORÓWNAWCZE PLANOWE ONKO;tdsuchab;157,5
TK PORÓWNAWCZE PLANOWE ONKO;tomograf;153,75
TK PORÓWNAWCZE PLANOWE ONKO;wsswroclaw;59,375
TK PORÓWNAWCZE PLANOWE ONKO;wysmaz;59,375
TK PORÓWNAWCZE PLANOWE ONKO;zozbol;188,496
TK PORÓWNAWCZE PLANOWE ONKO;zozboleslawiec;188,496
TK PORÓWNAWCZE PLANOWE ONKO;zozsochaczew;0
MR PLANOWE GŁ/KRG;alfasochaczew;0
MR PLANOWE GŁ/KRG;diamed;0
MR PLANOWE GŁ/KRG;domchojna2;0
MR PLANOWE GŁ/KRG;domchojna;0
MR PLANOWE GŁ/KRG;gz;0
MR PLANOWE GŁ/KRG;gzplonsk;0
MR PLANOWE GŁ/KRG;gzszczecin;0
MR PLANOWE GŁ/KRG;kamienpomorski;0
MR PLANOWE GŁ/KRG;kosmowroclaw;0
MR PLANOWE GŁ/KRG;medinet;0
MR PLANOWE GŁ/KRG;nrkrakow;0
MR PLANOWE GŁ/KRG;nzozevita;0
MR PLANOWE GŁ/KRG;powiatsredzki;0
MR PLANOWE GŁ/KRG;smtorun;0
MR PLANOWE GŁ/KRG;szpitalsiemiatycze;0
MR PLANOWE GŁ/KRG;tdallmedica;0
MR PLANOWE GŁ/KRG;tdcrir;0
MR PLANOWE GŁ/KRG;tdkoszalinmswia;0
MR PLANOWE GŁ/KRG;tdorzesze;0
MR PLANOWE GŁ/KRG;tdstalowawola;0
MR PLANOWE GŁ/KRG;tdtargowek;0
MR PLANOWE GŁ/KRG;tdzozwola;0
MR PLANOWE GŁ/KRG;wegorzewo;0
MR PLANOWE GŁ/KRG;wimed;0
MR PLANOWE GŁ/KRG;wss5;0
MR PLANOWE GŁ/KRG;bialogard;0
MR PLANOWE GŁ/KRG;brodnica;0
MR PLANOWE GŁ/KRG;brzesko;0
MR PLANOWE GŁ/KRG;cobydgoszcz;0
MR PLANOWE GŁ/KRG;dcmdolmed;220
MR PLANOWE GŁ/KRG;dzierzoniow;0
MR PLANOWE GŁ/KRG;faceclinic;210
MR PLANOWE GŁ/KRG;goleniow;0
MR PLANOWE GŁ/KRG;gorlice;0
MR PLANOWE GŁ/KRG;grajewo;0
MR PLANOWE GŁ/KRG;grodzisk;180
MR PLANOWE GŁ/KRG;kartuzy;220
MR PLANOWE GŁ/KRG;klodzko;210
MR PLANOWE GŁ/KRG;lapy;0
MR PLANOWE GŁ/KRG;lubaczow;0
MR PLANOWE GŁ/KRG;mswsiedlce;230
MR PLANOWE GŁ/KRG;nml;0
MR PLANOWE GŁ/KRG;ostrow;0
MR PLANOWE GŁ/KRG;pczotwock;0
MR PLANOWE GŁ/KRG;radiomedica;200
MR PLANOWE GŁ/KRG;rybnik;190
MR PLANOWE GŁ/KRG;scanmed;198
MR PLANOWE GŁ/KRG;sokolow;200
MR PLANOWE GŁ/KRG;spbochnia;0
MR PLANOWE GŁ/KRG;spzozlezajsk;207
MR PLANOWE GŁ/KRG;spzozmc;0
MR PLANOWE GŁ/KRG;spzozturek;0
MR PLANOWE GŁ/KRG;spzzozsierpc;0
MR PLANOWE GŁ/KRG;starachowice;210
MR PLANOWE GŁ/KRG;swk;0
MR PLANOWE GŁ/KRG;szpitaldzieciecy;0
MR PLANOWE GŁ/KRG;szpitallubartow;215
MR PLANOWE GŁ/KRG;szpitalopole;0
MR PLANOWE GŁ/KRG;szpitalzakopane;0
MR PLANOWE GŁ/KRG;szpitalzawiercie;0
MR PLANOWE GŁ/KRG;tdbelzyce;0
MR PLANOWE GŁ/KRG;tdblachownia;0
MR PLANOWE GŁ/KRG;tdbonifratrzy;210
MR PLANOWE GŁ/KRG;tdbrodnowski;230
MR PLANOWE GŁ/KRG;tdemcpiaseczno;0
MR PLANOWE GŁ/KRG;tdgammaknife;190
MR PLANOWE GŁ/KRG;tdgniezno;0
MR PLANOWE GŁ/KRG;tdipin;210
MR PLANOWE GŁ/KRG;tdkluczbork;198
MR PLANOWE GŁ/KRG;tdkolbuszowa;0
MR PLANOWE GŁ/KRG;tdksskrakow;295
MR PLANOWE GŁ/KRG;tdneuromedyka;0
MR PLANOWE GŁ/KRG;tdnowomedica;210
MR PLANOWE GŁ/KRG;tdonkologiaradom;190
MR PLANOWE GŁ/KRG;tdparczew;0
MR PLANOWE GŁ/KRG;tdpionki;220
MR PLANOWE GŁ/KRG;tdpraski;0
MR PLANOWE GŁ/KRG;tdpoludniowy;0
MR PLANOWE GŁ/KRG;tdpyrzyce;0
MR PLANOWE GŁ/KRG;tdscanmedak5;198
MR PLANOWE GŁ/KRG;tdscanmedpila;198
MR PLANOWE GŁ/KRG;tdsmswinoujscie;0
MR PLANOWE GŁ/KRG;tdspectrum;200
MR PLANOWE GŁ/KRG;tdspzozkolo;0
MR PLANOWE GŁ/KRG;tdspzozsiedlce;240
MR PLANOWE GŁ/KRG;tdsulechowNOWY;0
MR PLANOWE GŁ/KRG;tdszpitalchelm;0
MR PLANOWE GŁ/KRG;tdszpitalkolno;0
MR PLANOWE GŁ/KRG;tdwszplock;210
MR PLANOWE GŁ/KRG;tdzoznidzica;210
MR PLANOWE GŁ/KRG;tdzozplonsk;0
MR PLANOWE GŁ/KRG;td7szmw;260
MR PLANOWE GŁ/KRG;tworki;200
MR PLANOWE GŁ/KRG;uskbialystok;210
MR PLANOWE GŁ/KRG;uskpoznan;0
MR PLANOWE GŁ/KRG;wlodawa;0
MR PLANOWE GŁ/KRG;zambrow;200
MR PLANOWE GŁ/KRG;zgorzelec;205
MR PLANOWE GŁ/KRG;zozbiala;0
MR PLANOWE GŁ/KRG;zozswietochlowice;0
MR PLANOWE GŁ/KRG;almed;215
MR PLANOWE GŁ/KRG;dabrowatarnowska;0
MR PLANOWE GŁ/KRG;grupazdrowie;0
MR PLANOWE GŁ/KRG;komed;0
MR PLANOWE GŁ/KRG;mswiapoznan;230
MR PLANOWE GŁ/KRG;poddebice2;0
MR PLANOWE GŁ/KRG;swp;210
MR PLANOWE GŁ/KRG;puszczykowo;210
MR PLANOWE GŁ/KRG;rodamed;190
MR PLANOWE GŁ/KRG;sm4gliwice;210
MR PLANOWE GŁ/KRG;spzozswidnica;0
MR PLANOWE GŁ/KRG;szpitaljaslo;0
MR PLANOWE GŁ/KRG;szpitalrydygier;210
MR PLANOWE GŁ/KRG;tdmilicz;0
MR PLANOWE GŁ/KRG;tdsuchab;0
MR PLANOWE GŁ/KRG;tomograf;210
MR PLANOWE GŁ/KRG;wsswroclaw;210
MR PLANOWE GŁ/KRG;wysmaz;200
MR PLANOWE GŁ/KRG;zozbol;160,9
MR PLANOWE GŁ/KRG;zozboleslawiec;160,9
MR PLANOWE GŁ/KRG;zozsochaczew;220
MR PLANOWE  stawy;alfasochaczew;0
MR PLANOWE  stawy;diamed;0
MR PLANOWE  stawy;domchojna2;0
MR PLANOWE  stawy;domchojna;0
MR PLANOWE  stawy;gz;0
MR PLANOWE  stawy;gzplonsk;0
MR PLANOWE  stawy;gzszczecin;0
MR PLANOWE  stawy;kamienpomorski;0
MR PLANOWE  stawy;kosmowroclaw;0
MR PLANOWE  stawy;medinet;0
MR PLANOWE  stawy;nrkrakow;0
MR PLANOWE  stawy;nzozevita;0
MR PLANOWE  stawy;powiatsredzki;0
MR PLANOWE  stawy;smtorun;0
MR PLANOWE  stawy;szpitalsiemiatycze;0
MR PLANOWE  stawy;tdallmedica;0
MR PLANOWE  stawy;tdcrir;0
MR PLANOWE  stawy;tdkoszalinmswia;0
MR PLANOWE  stawy;tdorzesze;0
MR PLANOWE  stawy;tdstalowawola;0
MR PLANOWE  stawy;tdzozwola;0
MR PLANOWE  stawy;wegorzewo;0
MR PLANOWE  stawy;wimed;0
MR PLANOWE  stawy;wss5;0
MR PLANOWE  stawy;bialogard;0
MR PLANOWE  stawy;brodnica;0
MR PLANOWE  stawy;brzesko;0
MR PLANOWE  stawy;cobydgoszcz;0
MR PLANOWE  stawy;dcmdolmed;260
MR PLANOWE  stawy;dzierzoniow;0
MR PLANOWE  stawy;faceclinic;260
MR PLANOWE  stawy;goleniow;0
MR PLANOWE  stawy;gorlice;0
MR PLANOWE  stawy;grajewo;0
MR PLANOWE  stawy;grodzisk;220
MR PLANOWE  stawy;kartuzy;260
MR PLANOWE  stawy;klodzko;250
MR PLANOWE  stawy;lapy;0
MR PLANOWE  stawy;lubaczow;0
MR PLANOWE  stawy;mswsiedlce;270
MR PLANOWE  stawy;nml;0
MR PLANOWE  stawy;ostrow;0
MR PLANOWE  stawy;pczotwock;0
MR PLANOWE  stawy;radiomedica;240
MR PLANOWE  stawy;rybnik;225
MR PLANOWE  stawy;scanmed;250
MR PLANOWE  stawy;sokolow;250
MR PLANOWE  stawy;spbochnia;0
MR PLANOWE  stawy;spzozlezajsk;260
MR PLANOWE  stawy;spzozmc;0
MR PLANOWE  stawy;spzozturek;0
MR PLANOWE  stawy;spzzozsierpc;0
MR PLANOWE  stawy;starachowice;260
MR PLANOWE  stawy;swk;0
MR PLANOWE  stawy;szpitaldzieciecy;0
MR PLANOWE  stawy;szpitallubartow;265
MR PLANOWE  stawy;szpitalopole;0
MR PLANOWE  stawy;szpitalzakopane;0
MR PLANOWE  stawy;szpitalzawiercie;0
MR PLANOWE  stawy;tdbelzyce;0
MR PLANOWE  stawy;tdblachownia;0
